Car_Truck	EngDisp	RatedHP	Transmission	Drive	Weight	Comp	AxleRatio	EVSpeedRatio	AC	PRP	FuelType	City_Highway	Valves_Cyl	FuelEcon
car	3.4577	303	L6	4	1.9278e+03	11.8000	3.7700	29.7000	N	1	23	highway	6	6.7981
truck	2.9988	213	L6	4	1.8144e+03	9.5000	3.5700	30.9000	N	31	23	city	6	10.7897
truck	2.7366	185	L5	4	1.8144e+03	9.5000	4.3000	37.6000	Y	31	61	highway	6	7.9197
truck	3.9985	207	L5	4	1.9278e+03	9.7000	4.1000	35.6000	Y	32	61	city	6	14.1696
car	2.4908	204	L6	4	1.8144e+03	12	4.1000	33.4000	N	31	61	highway	6	6.3744
truck	5.3258	310	L4	4	2.3814e+03	9.9000	3.7300	28.4000	N	32	38	city	8	17.9553
car	2.3761	177	L5	R	1.4742e+03	10.4000	3.9100	38.1000	N	31	61	city	4	9.7196
car	3.1299	255	L6	4	2.0412e+03	12.5000	3.5400	33.9000	N	31	61	city	6	11.3084
car	5.7519	611	S6	R	1.9278e+03	11.2000	4.1800	38.3000	Y	33	61	city	12	19.1231
truck	3.7035	210	M6	R	1.9278e+03	9.7000	3.7300	30.5000	Y	31	61	highway	6	7.5632
car	2.3597	162	L5	F	1.5876e+03	10.5000	3.3100	33.2000	N	1	61	city	4	8.7440
truck	3.9985	210	L5	4	2.2680e+03	9.7000	3.7300	31.8000	Y	31	61	highway	6	9.1881
truck	3.4905	265	L6	4	2.0412e+03	10.3000	3.3900	27.9000	Y	32	61	city	6	12.0007
truck	3.4905	280	S5	R	2.0412e+03	10.3000	3.3600	32.2000	N	31	61	city	6	12.5783
car	1.4912	106	M5	F	1.1907e+03	10.5000	3.7200	44.9000	N	32	23	city	4	6.1899
truck	5.3258	295	L4	R	2.7216e+03	9.5000	3.4200	27.2000	N	31	38	city	8	19.9334
truck	3.6543	190	L4	4	1.9278e+03	10	3.7300	31.4000	N	31	61	highway	5	8.1956
car	2.2942	160	M5	F	1.5876e+03	9.7000	4.3900	45.1000	N	31	61	highway	4	5.8366
car	1.6059	168	S6	F	1.4742e+03	8.3000	3.6800	35	Y	31	61	city	4	9.5616
car	5.4569	382	L7	R	2.0412e+03	10.7000	2.4700	24.7000	N	31	61	highway	8	7.9464
car	2.4581	230	M5	4	1.6443e+03	8.4000	3.7000	38.3000	N	31	61	highway	4	6.7785
truck	3.5724	267	L6	F	2.2680e+03	10.2000	3.1600	26.2000	N	31	61	highway	6	7.0213
car	4.9653	512	M6	4	1.8144e+03	11	3.0800	23.9000	N	1	61	city	10	19.6012
truck	2.6547	173	L4	F	1.7577e+03	10	4.0400	37.1000	N	31	61	city	6	10.8896
truck	5.4077	300	L6	R	2.7216e+03	9.6000	3.3100	25.2000	Y	32	61	highway	8	9.1881
truck	4.6703	271	L5	4	2.4948e+03	10	4.1000	34	N	31	61	city	8	14.2554
car	3.4905	265	M6	F	1.6443e+03	10.3000	4.1300	34.5000	N	31	61	highway	6	6.2226
car	4.1951	300	L6	R	1.9278e+03	11	2.8700	25.2000	N	31	61	city	8	11.7022
car	3.4905	268	L5	4	1.9278e+03	10.5000	3.2700	36.9000	N	1	61	city	6	11.5869
truck	1.9665	140	M5	4	1.7577e+03	10.1000	4.5300	48.4000	N	1	61	city	4	9.8006
truck	2.3597	166	L4	4	1.7577e+03	9.8000	3.0800	39.2000	N	1	23	highway	4	6.8178
car	2.4417	168	L5	F	1.7577e+03	10.3000	2.4400	34.6000	N	31	23	city	5	10.0519
car	1.8026	143	M5	F	1.5309e+03	10.5000	3.3400	42.9000	Y	31	61	city	4	7.6368
car	3.7854	250	L4	F	1.8144e+03	8.5000	2.9300	26.5000	N	32	61	highway	6	6.4797
truck	2.9988	220	L6	F	1.8144e+03	9.5000	3.5700	30.9000	N	31	61	highway	6	7.0213
truck	4.6703	271	L5	R	2.4948e+03	10	3.9100	30.2000	N	32	61	city	8	13.9180
car	2.2942	153	L5	F	1.4742e+03	9.7000	3.8600	37.2000	N	31	61	highway	4	5.9699
car	4.5884	300	M5	R	1.7010e+03	10	3.3100	28.8000	Y	31	61	highway	8	7.2374
car	1.8026	143	M5	F	1.5309e+03	10.5000	3.3400	42.9000	Y	31	61	highway	4	5.7935
car	2.2942	160	L5	F	1.5876e+03	9.7000	3.8600	36.4000	N	31	61	city	4	8.9435
car	2.1959	145	M5	F	1.3608e+03	10	3.8400	38.1000	N	32	61	highway	4	5.0367
car	4.9653	512	M6	R	1.5309e+03	11	3.0800	23.9000	N	31	61	city	10	17.8193
car	4.5720	320	S6	R	1.9278e+03	10.5000	2.7300	24.3000	N	31	61	highway	8	6.9181
car	2.3761	155	L4	F	1.7010e+03	9.5000	4.2100	38.8000	N	1	23	highway	4	6.1254
truck	3.3430	244	L4	4	2.0412e+03	10.4000	3.6800	32.8000	N	1	61	highway	6	7.6868
truck	4.6703	260	L5	R	2.0412e+03	10	3.7300	30.9000	N	32	23	highway	8	9.0816
car	5.9977	600	L6	4	2.7216e+03	9.5000	3.5300	30.4000	N	1	61	city	12	18.9689
car	4.9981	500	S7	R	1.9278e+03	12	3.6200	38.8000	Y	31	61	city	10	16.8010
truck	4.1951	200	L4	F	2.1546e+03	9.3000	3.5400	31.5000	Y	31	61	highway	6	7.8931
truck	3.4741	244	L5	F	2.1546e+03	10	4.3800	31.7000	N	31	61	highway	6	7.5876
car	2.2942	153	L5	F	1.4742e+03	9.7000	3.8600	37.2000	N	31	61	highway	4	5.8951
car	1.9828	138	M5	F	1.4175e+03	10.1000	4.1900	45.5000	N	31	61	city	4	7.5876
car	2.1959	145	L4	F	1.4175e+03	10	3.6300	35.5000	N	32	23	highway	4	5.6953
truck	4.5884	292	L6	4	2.3814e+03	9.8000	3.5500	29.2000	Y	32	61	highway	8	9.4086
car	3.8837	240	M6	F	1.7577e+03	9.8000	3.5500	27.5000	N	31	61	city	6	11.8198
truck	4.6703	271	L5	4	2.4948e+03	10	4.1000	34	N	31	61	highway	8	10.3164
car	2.4745	150	M5	F	1.5876e+03	9.5000	3.6500	42.5000	N	31	61	highway	5	6.0936
car	1.9828	138	L4	F	1.5309e+03	10.1000	4.4100	44.4000	N	31	61	highway	4	6.0311
truck	2.9988	250	S5	4	2.0412e+03	10.7000	3.5800	35.8000	N	31	61	city	6	11.9398
truck	3.9985	207	L5	4	1.9278e+03	9.7000	3.7300	32.4000	Y	32	61	city	6	14.0009
car	2.2942	160	L5	F	1.6443e+03	9.7000	3.8600	35.9000	Y	1	61	city	4	9.6006
car	1.4912	106	M5	F	1.1907e+03	10.5000	3.7200	44.9000	N	1	23	city	4	6.2724
car	4.1951	400	L6	R	1.9278e+03	9	2.8700	26.9000	N	31	61	city	8	12.5114
truck	3.4905	200	L4	4	2.0412e+03	9.8000	3.2900	32.4000	N	32	61	highway	6	7.9197
car	4.1623	350	L6	4	2.1546e+03	12.5000	3.3100	29.6000	N	1	61	highway	8	7.5389
truck	5.3258	310	L4	R	2.4948e+03	9.9000	3.4200	27.2000	N	32	38	highway	8	11.5869
car	1.4912	109	S5	F	1.3041e+03	10.4000	4.5600	37.3000	N	31	61	highway	4	4.9311
truck	2.3761	170	L4	F	1.7010e+03	10.4000	3.6300	30.7000	N	31	61	highway	4	5.7230
car	5.7519	532	A6	R	2.0412e+03	11.2000	4.1800	40.7000	Y	33	61	city	12	20.4534
car	2.9825	203	L6	F	1.8144e+03	10	3.4600	30.4000	Y	31	61	city	6	10.0519
car	2.4745	150	L6	F	1.5876e+03	9.5000	3.5000	32.7000	N	31	61	city	5	9.5229
car	4.6048	380	L8	R	2.0412e+03	11.8000	2.9400	25.9000	N	31	61	city	8	11.3630
car	3.4905	268	L7	R	1.6443e+03	10.5000	3.2700	33.7000	N	31	61	city	6	11.0950
car	1.2946	212	M6	R	1.5309e+03	10	4.3000	34	N	31	61	city	2	11.9398
truck	2.9825	200	L4	F	1.7010e+03	10	3.7700	31.6000	Y	31	61	highway	6	7.4909
truck	2.9988	215	S6	4	1.9278e+03	10.7000	4.4400	38.1000	Y	31	61	city	6	10.9402
truck	3.6543	245	L4	4	2.3814e+03	10.1000	4.5600	35	N	31	61	highway	5	9.7196
car	2.2942	160	L5	F	1.4742e+03	9.7000	3.8600	37.2000	N	31	61	city	4	8.4610
truck	2.2942	133	AV	F	1.7577e+03	12.3000	3.7300	31.2000	Y	31	61	highway	4	5.8804
car	4.8014	360	S6	R	1.9278e+03	10.5000	3.3800	31.2000	Y	31	61	city	8	11.9398
truck	2.9825	148	M5	R	1.6443e+03	9.6000	3.7300	37.5000	Y	31	61	highway	6	7.8931
car	5.9321	450	A6	R	2.0412e+03	10.4000	3.1500	28.6000	N	31	61	highway	12	10.0519
car	3.8837	240	S4	F	1.7010e+03	9.8000	3.6900	33.3000	N	32	61	city	6	11.4739
truck	2.3597	166	L4	F	1.7010e+03	9.8000	2.9200	36.8000	N	32	61	highway	4	6.2062
car	2.3597	162	L4	F	1.7010e+03	10.5000	4.0400	39.3000	N	1	61	highway	4	6.4091
car	2.4417	165	L5	F	1.6443e+03	10.3000	2.4400	34.6000	N	31	23	city	5	9.6399
truck	5.4077	300	L4	4	2.7216e+03	9.8000	3.7300	28.3000	Y	31	38	city	8	20.6329
truck	4.8014	270	L4	4	2.3814e+03	9.5000	3.4200	26	N	32	61	city	8	13.5181
truck	2.9169	190	L4	R	1.7010e+03	10	3.7300	32	N	32	61	city	4	12.1245
car	2.6547	172	L4	F	1.5876e+03	10	4.0400	41.1000	N	31	61	city	6	11.3630
car	2.2942	160	M5	F	1.5876e+03	9.7000	4.3900	44.9000	N	31	61	highway	4	5.7651
truck	5.3258	310	L4	R	2.4948e+03	9.9000	3.4200	27.2000	N	32	38	city	8	17.8193
car	2.2942	160	L5	F	1.6443e+03	9.7000	3.8600	36.4000	N	31	61	highway	4	6.0779
truck	3.9001	194	L4	F	2.0412e+03	9.4000	3.5400	32.1000	Y	31	61	city	6	12.1245
car	5.1947	450	L6	4	2.2680e+03	12.5000	4.0600	36.4000	N	1	61	city	10	14.3424
car	3.1299	255	L6	4	1.8144e+03	12.5000	3.5400	33.9000	N	31	61	city	6	10.7404
car	3.4577	306	L6	R	1.8144e+03	11.8000	4.0800	32.4000	N	31	61	highway	6	6.4442
car	3.4905	287	S5	R	1.7010e+03	10.6000	3.3600	36.9000	N	31	61	city	6	11.2007
truck	2.2942	153	M5	F	1.5876e+03	9.7000	4.1300	40.3000	Y	31	61	highway	4	6.2724
car	2.3761	162	M5	F	1.7010e+03	9.5000	4.3100	44.4000	N	31	61	highway	4	6.3400
car	2.9988	244	L5	F	1.6443e+03	10	4.4300	31.6000	N	31	61	city	6	10.3164
truck	2.4908	152	L5	R	1.8144e+03	9.5000	3.9200	37.5000	N	32	61	highway	4	7.7886
car	3.4741	286	M6	F	1.7577e+03	11	3.8900	33.4000	N	31	61	city	6	10.4077
car	3.6052	325	M6	4	1.7010e+03	11.3000	3.4400	40.2000	N	1	61	city	6	11.4739
truck	4.5884	292	L6	4	2.4948e+03	9.8000	3.5500	29.2000	Y	1	61	highway	8	9.8416
car	4.9981	500	S7	R	2.1546e+03	12	3.6200	38.8000	Y	31	61	city	10	16.2217
truck	2.9988	255	S6	4	1.9278e+03	10.7000	4.4400	38.1000	Y	31	61	highway	6	7.1277
truck	2.4908	152	L5	R	1.8144e+03	9.5000	3.9200	37.5000	N	32	61	city	4	11.3084
truck	5.4077	300	L6	R	2.7216e+03	9.6000	3.3100	25.9000	Y	31	61	city	8	15.1751
truck	3.9493	236	M6	4	1.9278e+03	10	3.7300	36.4000	N	31	61	city	6	12.8533
car	2.4745	150	L6	F	1.6443e+03	9.5000	3.5000	32.7000	N	1	61	highway	5	6.0622
truck	4.2934	195	M5	R	2.1546e+03	9.2000	3.2300	26.8000	N	31	61	highway	6	8.1108
truck	3.7854	262	L5	R	2.0412e+03	10.4000	3.3300	20.4000	N	31	61	highway	6	8.1389
car	2.9988	215	L6	F	1.7010e+03	10	3.4600	32.3000	N	31	61	city	6	10.6916
car	3.1299	255	AV	F	1.7577e+03	12.5000	5.0800	28.2000	N	31	61	city	6	9.8830
truck	3.7854	244	L5	F	2.1546e+03	10.4000	3.3300	30.5000	N	31	61	city	6	11.8795
car	2.9825	210	L7	R	1.9278e+03	16.5000	2.6500	32.9000	N	1	19	city	6	8.1108
car	3.5724	255	M6	R	1.8144e+03	10.3000	3.2300	34.8000	N	32	61	highway	6	6.9385
truck	5.4077	300	L6	R	2.7216e+03	9.6000	3.3100	25.2000	Y	32	61	city	8	15.6810
truck	4.7031	235	L5	4	2.2680e+03	9	3.5500	28.3000	Y	31	38	city	8	21.9827
car	2.9825	210	L6	4	1.8144e+03	10	3.4600	31.9000	Y	1	61	highway	6	6.9385
car	1.6059	114	AV	F	1.3608e+03	10.6000	4.0500	36.8000	Y	31	61	city	4	8.3115
truck	4.6703	260	L5	4	2.1546e+03	10	3.7300	31	N	31	61	highway	8	9.6006
truck	2.2942	143	L5	R	1.5309e+03	9.7000	4.1000	39	Y	31	61	highway	4	7.0848
car	2.9988	244	M6	F	1.6443e+03	10	3.2900	34.8000	N	31	61	city	6	10.2714
car	4.9653	512	S6	R	1.5309e+03	11	3.0800	23.9000	N	31	61	highway	10	9.1523
car	2.7858	250	M6	F	1.7577e+03	9.5000	3.5300	33.8000	N	32	61	highway	6	6.5702
truck	3.9985	260	L5	R	1.9278e+03	10.3000	3.5500	34.2000	Y	32	61	city	6	11.8198
car	1.9992	166	S6	R	1.3041e+03	10.8000	4.1000	34.2000	N	31	61	highway	4	6.1574
truck	2.9825	200	L4	F	1.7010e+03	10	3.7700	31.6000	Y	31	61	highway	6	7.4909
car	4.3754	469	S6	R	2.1546e+03	9.5000	3.2300	27.1000	N	32	61	city	8	15.6810
car	4.9653	512	M6	R	1.5309e+03	11	3.0800	23.9000	N	31	61	highway	10	9.4464
car	2.2942	143	M5	F	1.4175e+03	10.5000	4.4100	48.5000	Y	31	61	highway	4	6.0936
car	2.2942	153	L5	F	1.4742e+03	9.7000	3.8600	37.2000	N	31	61	city	4	8.4610
car	1.9992	166	S6	R	1.3041e+03	10.8000	4.1000	34.2000	N	31	61	highway	4	6.1899
car	5.5061	510	L5	R	2.3814e+03	9	2.6500	28.9000	N	31	61	city	12	16.5644
car	3.8018	355	M6	R	1.6443e+03	11.3000	3.4400	39.7000	N	1	61	city	6	11.7607
car	4.6048	234	L4	R	2.0412e+03	9.4000	2.7300	25	Y	31	61	highway	8	7.4671
car	2.5236	218	L5	F	1.6443e+03	9	2.2700	32.2000	N	31	23	city	5	9.8830
car	4.1623	344	M6	4	1.9278e+03	11	3.8900	41.9000	N	31	61	city	8	14.4303
car	1.9992	170	M6	R	1.2474e+03	10.8000	4.1000	48.9000	N	31	61	city	4	8.7117
car	3.4905	268	M6	R	1.7577e+03	10.5000	2.8200	32.9000	N	31	61	city	6	10.7404
car	3.1955	235	L6	F	1.8144e+03	10.8000	3.3300	38.3000	N	31	23	city	6	11.4182
truck	3.4905	268	L7	4	2.4948e+03	10.5000	3.7000	32.1000	N	31	61	highway	6	8.7117
truck	3.7854	190	M6	4	2.0412e+03	8.7000	4.1000	40.9000	Y	31	61	highway	6	10.3619
car	3.3102	210	L5	F	1.7577e+03	10.8000	3.2900	33.3000	N	31	61	highway	6	6.2226
truck	4.7031	235	L5	4	2.4948e+03	9	3.5500	27.1000	Y	32	38	highway	8	13.9180
truck	2.9988	220	L6	F	1.7577e+03	9.5000	3.5700	30.9000	N	31	61	highway	6	6.7981
car	1.2946	212	L6	R	1.5309e+03	10	4.3000	34	N	31	61	highway	2	7.2822
car	2.9988	255	S6	R	1.7010e+03	10.7000	3.2300	36.8000	Y	31	61	city	6	11.8795
truck	5.6699	381	L6	R	2.3814e+03	10.2000	4.3000	27.4000	N	31	61	highway	8	9.1523
car	4.1951	300	L6	R	1.8144e+03	11	2.8700	25.2000	N	31	61	city	8	11.5301
truck	3.7035	210	L4	R	2.0412e+03	9.2000	3.5500	29.6000	Y	31	61	highway	6	8.3706
car	2.4581	243	S5	4	1.7577e+03	8.4000	3.0800	36.1000	N	31	61	highway	4	7.3276
car	1.6059	175	S6	F	1.3608e+03	10.5000	3.6800	35	Y	31	61	highway	4	5.4701
truck	5.3258	295	L4	R	2.7216e+03	9.5000	3.7300	29.7000	N	32	61	highway	8	10.5007
truck	5.3258	295	L4	R	2.1546e+03	9.5000	3.2300	25.7000	N	32	61	highway	8	8.6795
truck	3.9493	261	L5	4	2.1546e+03	9.7000	3.1300	30	N	31	61	highway	6	8.8427
car	4.9653	512	L6	4	1.7010e+03	11	3.0800	23.9000	N	31	61	highway	10	9.8830
car	2.2942	160	L5	F	1.5876e+03	9.7000	3.8600	36.3000	N	31	61	highway	4	5.8366
truck	5.3258	295	L4	R	2.3814e+03	9.5000	3.2300	25.7000	N	32	38	city	8	18.0934
car	4.1951	300	L6	R	1.8144e+03	11	2.8700	25.2000	N	31	61	city	8	11.5301
car	2.9988	255	S6	R	1.7010e+03	10.7000	3.2300	36.8000	Y	31	61	city	6	10.6916
car	3.1955	250	L6	F	1.8144e+03	10.8000	3.6000	34.9000	N	31	61	highway	6	6.3572
truck	3.3102	208	AV	F	2.0412e+03	10.8000	3.5400	23.7000	N	31	61	city	6	6.3917
car	2.4745	150	L6	F	1.5876e+03	9.5000	3.5000	32.7000	N	1	61	highway	5	6.0779
car	1.8026	126	L4	F	1.3041e+03	10	2.9600	37.8000	N	31	61	highway	4	4.8101
car	1.9992	170	M5	R	1.2474e+03	10.8000	4.1000	48.3000	N	31	61	city	4	8.5845
truck	5.6699	381	L6	4	2.7216e+03	10.2000	4.3000	27.7000	N	1	23	highway	8	10.2714
car	3.1299	255	L6	4	1.9278e+03	12.5000	3.5400	33.9000	N	31	61	city	6	10.9402
truck	5.4077	300	L6	R	2.7216e+03	9.6000	3.3100	25.2000	Y	32	61	highway	8	9.4086
car	2.5236	218	M6	F	1.6443e+03	9	3.7700	34.1000	N	31	23	highway	5	6.2062
truck	5.5552	305	L5	4	2.4948e+03	9.8000	3.3600	30	N	31	61	highway	8	10.0519
car	2.4581	173	M5	4	1.5309e+03	10	3.9000	42.6000	N	31	61	highway	4	6.3572
car	3.4905	265	AV	F	1.7010e+03	10.3000	5.1700	30.1000	N	31	61	highway	6	6.4266
car	4.9653	512	S6	R	1.5309e+03	11	3.0800	23.9000	N	31	61	city	10	17.1689
car	4.9981	500	M6	R	1.9278e+03	12	3.6200	40.6000	Y	31	61	city	10	17.9553
car	3.5724	252	L5	R	1.8144e+03	10.3000	3.4200	34.6000	N	32	61	highway	6	6.6445
truck	2.3597	166	L4	4	1.7577e+03	9.8000	3.0800	39.2000	N	31	23	highway	4	6.8178
truck	2.6875	159	M5	R	1.8144e+03	9.6000	4.1000	38	N	31	61	highway	4	7.6121
truck	2.9169	190	M5	4	1.9278e+03	10	3.7300	32.7000	N	31	61	highway	4	7.6121
truck	3.3102	208	AV	4	2.1546e+03	10.8000	3.5400	23.9000	N	1	23	highway	6	6.9797
car	3.4905	298	M6	R	1.7577e+03	10.3000	3.5400	36.2000	N	31	61	highway	6	7.1931
truck	3.9493	261	L5	R	2.0412e+03	9.7000	2.9400	28.1000	N	31	61	city	6	12.8533
car	2.9988	228	L7	R	1.6443e+03	11.3000	3.2700	33.1000	N	31	61	city	6	10.6916
truck	5.7027	345	L5	4	2.4948e+03	9.6000	3.9200	30	Y	32	61	highway	8	9.5616
truck	2.3597	165	AV	F	1.5876e+03	10.5000	2.3900	31	Y	32	61	highway	4	6.7785
truck	4.3917	305	L6	4	2.7216e+03	10.8000	3.7300	32.7000	Y	31	61	city	8	15.5771
car	2.2942	160	L5	F	1.5876e+03	9.7000	3.8600	36.4000	N	31	61	highway	4	5.9699
truck	3.9493	261	L5	R	2.1546e+03	9.7000	3.1300	30	N	31	61	city	6	13.2143
truck	2.9988	213	L6	F	1.7577e+03	9.5000	3.5700	30.9000	N	31	23	city	6	10.6916
truck	3.7035	210	L4	4	2.1546e+03	9.2000	3.9200	31	Y	31	61	highway	6	9.5616
car	1.9992	150	M5	F	1.4175e+03	10	4.1000	43.5000	N	31	61	city	4	7.5632
car	3.4577	292	AV	R	2.0412e+03	11.8000	3.7700	22.6000	N	1	23	highway	6	6.6258
truck	4.4901	330	S5	4	2.2680e+03	10.5000	3.6900	35.4000	N	31	61	highway	8	9.9247
truck	3.7854	190	M6	4	2.0412e+03	8.7000	4.1000	40.9000	Y	31	61	city	6	14.5194
car	3.4905	268	L7	R	1.9278e+03	10.5000	2.8200	29.1000	N	31	61	highway	6	6.6445
truck	3.2938	180	L4	F	2.0412e+03	9.3000	2.4900	32.3000	Y	31	61	highway	6	7.2374
truck	3.7035	215	M6	R	2.0412e+03	9.2000	3.2100	30.2000	Y	31	61	highway	6	8.3115
car	3.4577	268	L5	F	1.7577e+03	10.8000	3.0800	31.1000	N	31	61	highway	6	5.9398
car	3.3921	295	L5	R	1.5876e+03	11.1000	4.1600	40.5000	N	1	61	city	6	10.4540
car	1.9828	136	L4	F	1.4175e+03	10	3.7300	39.1000	Y	1	61	city	4	8.3409
truck	4.5884	292	L6	R	2.2680e+03	9.8000	3.5500	29.7000	Y	32	61	city	8	14.3424
car	1.9828	200	L6	F	1.5876e+03	10.3000	3.1400	40.7000	N	31	61	city	4	8.3115
car	4.1623	344	S6	4	2.0412e+03	11	3.5400	33.9000	N	31	61	city	8	15.5771
car	3.5888	280	L6	F	1.7577e+03	12	3.4600	32.4000	N	1	61	highway	6	6.5337
truck	5.4077	300	L6	R	2.7216e+03	9.6000	3.3100	25.9000	Y	31	61	city	8	15.6810
car	2.4908	204	L6	4	1.8144e+03	12	4.1000	33.4000	N	1	23	highway	6	6.5886
car	4.6048	380	L8	R	2.0412e+03	11.8000	2.9400	25.9000	N	31	61	city	8	11.2007
car	3.2119	168	M6	R	1.5309e+03	10	3.4600	40.3000	Y	1	61	city	6	12.5114
truck	3.4905	280	S5	R	2.0412e+03	10.3000	3.3600	32.2000	N	31	61	highway	6	7.8405
truck	4.5884	231	L4	4	2.7216e+03	9.4000	3.7300	29.8000	Y	1	61	highway	8	10.4540
truck	3.7854	260	L6	F	2.1546e+03	10.4000	3.4600	30.9000	N	31	61	highway	6	7.4200
car	5.9813	603	S5	R	2.4948e+03	9	2.6500	27.5000	N	31	61	highway	12	9.3339
truck	3.7854	205	L4	F	2.0412e+03	9.6000	2.7000	30.8000	Y	32	61	city	6	12.0623
car	1.9828	200	L6	4	1.8144e+03	10.5000	3.5400	34	N	1	61	city	4	9.7196
truck	3.8346	225	L4	F	2.0412e+03	10	4.0100	33.1000	N	31	23	highway	6	7.7373
car	4.2934	288	L6	R	1.9278e+03	10.5000	3.7700	29.4000	N	31	61	highway	8	7.4435
truck	3.9493	239	L5	4	2.0412e+03	10	3.7300	29.2000	N	32	23	highway	6	8.7440
truck	3.9493	261	M6	R	2.0412e+03	9.7000	3.5400	31.1000	N	31	61	highway	6	8.4915
truck	3.9493	250	L6	4	2.2680e+03	9.9000	2.2400	26.8000	Y	31	61	highway	6	7.9197
truck	4.8014	270	L4	4	2.4948e+03	9.5000	3.2300	25.7000	N	32	61	highway	8	9.5229
truck	3.3430	244	L4	F	1.9278e+03	10.4000	3.6800	32.8000	N	31	61	city	6	10.9913
truck	2.5236	208	L5	4	2.2680e+03	9	2.8600	34.7000	N	1	23	highway	5	8.4915
car	2.2942	160	L5	F	1.4742e+03	9.7000	3.8600	37.2000	N	31	61	city	4	8.5533
car	2.5236	218	L5	F	1.9278e+03	9	2.2700	31.6000	N	31	23	highway	5	6.3400
car	1.6059	110	M5	F	1.2474e+03	10	4.0600	42	N	31	61	highway	4	5.2386
car	3.8018	355	M6	4	1.6443e+03	11.3000	3.4400	39.7000	N	1	61	highway	6	7.3735
car	3.6052	415	M6	R	1.5876e+03	12.1000	3.4400	41.7000	N	1	61	highway	6	7.5632
